"name";"laufzeit";"ladezeit"
"1";"Jabra-Elite-Sport-Headset-BT-Grau-Gruen";363;104
"2";"Bang-Olufsen-Beoplay-E8-2-0";256;145
"3";"Cellular-Line-Petit-Bluetooth-Kopfhoerer-schwarz";341;93
"4";"Nokia-True-Wireless-Earbuds-BH-705";218;172
"5";"Apple-AirPods-Pro-mit-kabellosem-Ladecase-2019";335;150
"6";"Motorola-Verve-Buds-500";173;102
"7";"Beats-Powerbeats-Pro-In-Ear-Headset-Bluetooth-schwarz";704;101
"8";"Plantronics-BackBeat-Fit-3100-schwarz";266;213
"9";"Urbanista-Athens";495;86
"10";"Samsung-Galaxy-Buds-weiss-SM-R175";787;100
"11";"Jabra-Elite-Active-65T-KU-B-True-Wireless-Smart-Earphones-Blau-Kupfer";304;202
"12";"Bose-SoundSport-Free-Wireless-In-Ear-Kopfhoerer-Schwarz";306;132
"13";"Sony-WF1000XM3-In-ear-True-Wireless-Smart-Earphones-Schwarz";562;194
"14";"Master-Dynamic-MW07-In-ear-True-Wireless-Kopfhoerer-Matte-Black";391;108
"15";"Urbanista-Stockholm";155;96
"16";"Anker-Liberty-Schwarz-Kopfhoerer";176;370
"17";"Jabra-Elite-75t-In-ear-Kopfhoerer-Bluetooth-Schwarz";411;105
"18";"Anker-Soundcore-Liberty-Air-2";403;119
"19";"Anker-Soundcore-Liberty-2-Pro-schwarz";457;85
"20";"Sony-WF-SP700N-True-Wireless-Smart-Earphones-Weiss";211;57
"21";"Pioneer-SE-C8TW-B-True-Wireless-In-Ear-Kopfhoerer-BT";206;36
"22";"Sennheiser-Momentum-2-True-Wireless-Kopfhoerer-in-Schwarz";425;100
"23";"AudioTechnica-ATH-SPORT7TW";163;176
"24";"Skullcandy-Push-In-ear-True-Wireless-Kopfhoerer-Bluetooth-Dunkelgruen";441;118
"25";"Apple-AirPods-Bluetooth-Kopfhoerer-In-Ear-Headset-Weiss-MMEF2ZM-A";310;153
"26";"QCY-T1";200;204
"27";"Sony-WF-SP900-In-Ear-inkl-Ladeetui-weiss";183;194
"28";"JBL-Free-x-In-ear-Kopfhoerer-Schwarz";260;174
