"gehalt","dienstjahre","einstufung"
"1",145350,16,"Univ.-Prof."
"2",105631,10,"außerord. Prof."
"3",122875,31,"Univ.-Prof."
"4",101299,40,"Univ.-Prof."
"5",193000,26,"Univ.-Prof."
"6",163200,20,"Univ.-Prof."
"7",100131,29,"Univ.-Prof."
"8",93164,37,"Univ.-Prof."
"9",150480,17,NA
"10",70700,45,"außerord. Prof."
"11",98510,22,NA
"12",78182,13,"außerord. Prof."
"13",113398,28,"Univ.-Prof."
"14",123683,21,"Univ.-Prof."
"15",107550,45,"Univ.-Prof."
"16",88825,6,"Assistenzprof."
"17",91100,30,"Univ.-Prof."
"18",172272,25,"Univ.-Prof."
"19",NA,24,"Univ.-Prof."
"20",79916,7,"Assistenzprof."
"21",88175,16,"Univ.-Prof."
"22",137317,37,"Univ.-Prof."
"23",109305,29,"Univ.-Prof."
"24",101000,19,"Univ.-Prof."
"25",89942,3,"Assistenzprof."
"26",77500,4,"Assistenzprof."
"27",133700,43,"Univ.-Prof."
"28",90450,17,"Univ.-Prof."
"29",76840,56,"Univ.-Prof."
"30",113068,24,"Univ.-Prof."
"31",142023,41,"Univ.-Prof."
"32",88000,1,"Assistenzprof."
"33",92700,4,"Assistenzprof."
"34",151445,36,"Univ.-Prof."
"35",88600,41,"außerord. Prof."
"36",74692,11,"Assistenzprof."
"37",95079,4,"Assistenzprof."
"38",111350,39,"Univ.-Prof."
"39",137000,NA,"Univ.-Prof."
"40",150680,38,"Univ.-Prof."
"41",NA,4,"Assistenzprof."
"42",120806,21,"Univ.-Prof."
"43",119015,28,"Univ.-Prof."
"44",122400,20,"Univ.-Prof."
"45",91227,5,"Assistenzprof."
"46",107309,39,"Univ.-Prof."
"47",108875,12,"Univ.-Prof."
"48",95329,25,"Univ.-Prof."
"49",192253,49,"Univ.-Prof."
"50",103700,13,"Univ.-Prof."
"51",134550,16,"Univ.-Prof."
"52",NA,23,"Univ.-Prof."
"53",128400,15,"Univ.-Prof."
"54",175000,30,"Univ.-Prof."
"55",129600,34,"Univ.-Prof."
"56",81500,15,"außerord. Prof."
"57",102600,38,"Univ.-Prof."
"58",141136,18,"Univ.-Prof."
"59",79750,4,"Assistenzprof."
"60",NA,22,"Univ.-Prof."
"61",153750,25,"Univ.-Prof."
"62",97000,6,"außerord. Prof."
"63",141500,40,"Univ.-Prof."
"64",NA,24,"Univ.-Prof."
"65",167284,16,"Univ.-Prof."
"66",105890,21,"Univ.-Prof."
"67",100102,14,"außerord. Prof."
"68",95436,10,"außerord. Prof."
"69",152500,17,"Univ.-Prof."
"70",NA,34,"Univ.-Prof."
"71",112696,27,"Univ.-Prof."
"72",NA,18,"Univ.-Prof."
"73",107008,9,"außerord. Prof."
"74",122960,17,"Univ.-Prof."
"75",100944,13,"außerord. Prof."
"76",161101,24,"Univ.-Prof."
"77",148500,30,"Univ.-Prof."
"78",109000,NA,"Univ.-Prof."
"79",89565,31,"Univ.-Prof."
"80",63100,7,"Assistenzprof."
"81",73800,9,"Assistenzprof."
"82",114596,38,"Univ.-Prof."
"83",150000,26,"Univ.-Prof."
"84",100135,10,"außerord. Prof."
"85",73500,5,"Assistenzprof."
"86",84000,4,"Assistenzprof."
"87",162221,30,"Univ.-Prof."
"88",NA,52,"Univ.-Prof."
"89",90000,NA,"außerord. Prof."
"90",NA,7,"Assistenzprof."
"91",77081,NA,"Assistenzprof."
"92",205500,43,"Univ.-Prof."
"93",117704,23,"Univ.-Prof."
"94",99247,10,"außerord. Prof."
"95",151768,23,"Univ.-Prof."
"96",152708,37,"Univ.-Prof."
"97",101036,43,"Univ.-Prof."
"98",97150,40,"Univ.-Prof."
"99",105000,17,"außerord. Prof."
