"betrug"|"ablehnung"|"wert"
"1"|"Nein"|0|984
"2"|"Nein"|0|5234.48
"3"|"Ja"|9|5562.75
"4"|"Nein"|0|6180.07
"5"|"Nein"|0|2096.35
"6"|NA|5|12467.85
"7"|NA|5|4797.35
"8"|"Nein"|3|1462.57
"9"|"Nein"|0|1859.93
"10"|"Ja"|2|5185.32
"11"|"Nein"|0|7830.61
"12"|"Nein"|0|98.59
"13"|"Nein"|0|3240.19
"14"|"Nein"|0|2875.28
"15"|"Nein"|0|456.29
"16"|"Nein"|0|3462.72
"17"|"Nein"|0|1682.05
"18"|"Ja"|0|1055.09
"19"|"Ja"|0|5703.67
"20"|"Nein"|0|283.2
"21"|"Ja"|9|NA
"22"|"Nein"|0|0
"23"|"Nein"|0|391.52
"24"|"Nein"|0|5451
"25"|NA|1|942.72
"26"|"Nein"|0|1188.25
"27"|"Nein"|0|3002.57
"28"|"Nein"|2|7490.61
"29"|"Nein"|0|889.36
"30"|"Nein"|0|1502.07
"31"|"Nein"|0|102.3
"32"|"Nein"|0|4420
"33"|"Ja"|4|9666.67
"34"|"Nein"|0|5338.42
"35"|"Nein"|0|300.94
"36"|"Nein"|0|190.91
"37"|"Nein"|1|2013.65
"38"|"Nein"|0|318.94
"39"|"Nein"|0|130.47
"40"|"Nein"|0|1595.56
"41"|"Nein"|0|1810.2
"42"|"Ja"|5|9559.33
"43"|"Nein"|0|3047.62
"44"|"Nein"|0|1786.41
"45"|"Nein"|1|5913.93
"46"|"Nein"|NA|246.96
"47"|"Ja"|0|8039.92
"48"|"Nein"|0|0
"49"|"Nein"|0|2766.13
"50"|"Nein"|0|5568.08
"51"|"Nein"|0|2501.83
"52"|"Nein"|0|6309.42
"53"|"Nein"|0|621.55
"54"|"Nein"|0|443.76
"55"|"Ja"|0|11056.73
"56"|"Nein"|2|1557.96
"57"|"Ja"|0|8985.1
"58"|"Nein"|0|1430.75
"59"|"Nein"|0|1614.14
"60"|"Ja"|0|1444.67
"61"|"Nein"|0|5536.84
"62"|"Nein"|0|5260.83
"63"|"Nein"|0|393.21
"64"|"Nein"|0|30.88
"65"|"Nein"|0|3676.74
"66"|"Nein"|0|205.61
"67"|"Nein"|NA|3592.43
"68"|"Nein"|0|81.69
"69"|NA|0|573.36
"70"|"Nein"|1|7663.63
"71"|"Ja"|3|8099.54
"72"|"Nein"|0|3656.76
"73"|"Nein"|0|728.6
"74"|"Nein"|1|3744.02
"75"|"Nein"|0|2523.42
"76"|"Nein"|0|3354.85
"77"|"Nein"|0|0
"78"|"Nein"|0|2565.08
"79"|"Ja"|5|713.78
"80"|NA|0|3808.12
"81"|"Nein"|0|3054.96
"82"|"Nein"|0|2326.87
"83"|NA|0|295.94
"84"|"Nein"|0|965.22
"85"|"Nein"|0|687.47
"86"|"Nein"|0|7167.01
"87"|"Nein"|0|112.39
"88"|"Nein"|0|2262.58
"89"|"Ja"|0|6304.04
"90"|"Nein"|7|1710.85
"91"|"Ja"|8|11119.82
"92"|"Ja"|0|4409.2
"93"|"Nein"|1|1771.34
"94"|"Nein"|NA|1359.38
"95"|"Ja"|0|4365.88
"96"|"Nein"|0|2718.07
"97"|"Nein"|4|2729.08
"98"|"Nein"|0|6574.97
"99"|"Nein"|0|2376.25
"100"|"Nein"|0|7800.73
"101"|"Ja"|0|16359.97
"102"|"Nein"|0|3542.11
"103"|"Nein"|0|NA
"104"|"Nein"|0|438.06
"105"|"Nein"|0|NA
"106"|"Nein"|0|597.6
"107"|"Ja"|5|9489.25
"108"|"Nein"|0|7151.86
"109"|"Ja"|9|8509.02
"110"|"Nein"|6|3772.67
"111"|"Nein"|0|1491.28
"112"|"Nein"|0|5309.8
"113"|"Nein"|0|4251.54
"114"|"Nein"|0|2938.61
"115"|"Nein"|0|NA
"116"|"Nein"|2|811.48
"117"|"Nein"|0|1600.14
"118"|"Nein"|0|8819.51
"119"|"Ja"|6|5145
"120"|"Nein"|0|1137.5
"121"|"Ja"|8|455.03
"122"|"Nein"|NA|1248.98
"123"|"Nein"|6|3239.32
"124"|"Nein"|2|507.43
"125"|"Nein"|0|8174.12
"126"|"Nein"|0|386
"127"|NA|NA|6101.98
"128"|"Nein"|0|7547.22
"129"|NA|NA|1649.95
"130"|"Nein"|0|NA
"131"|"Nein"|0|5392.45
"132"|"Nein"|1|55.14
"133"|"Nein"|0|2518.07
"134"|"Nein"|0|2928.85
"135"|"Nein"|0|NA
"136"|"Nein"|0|1391.37
"137"|"Ja"|5|1508.4
"138"|"Nein"|0|646.45
"139"|"Nein"|0|1638.61
"140"|"Nein"|4|220.28
"141"|"Ja"|4|3955.31
"142"|"Nein"|0|697.14
"143"|"Nein"|0|595.53
"144"|"Nein"|0|3489.68
"145"|"Nein"|0|2115.23
"146"|"Nein"|0|1956.27
"147"|"Nein"|5|2412.02
"148"|"Nein"|0|2672.38
"149"|"Nein"|0|6373.5
"150"|"Ja"|8|3818.94
"151"|"Nein"|0|NA
"152"|"Nein"|0|200.31
"153"|"Nein"|NA|267.52
"154"|"Nein"|0|6256.64
"155"|"Nein"|0|652.67
"156"|"Ja"|8|178.41
"157"|"Nein"|0|1705.89
"158"|"Nein"|0|1309.42
"159"|NA|6|14131.83
"160"|"Nein"|0|2860.1
"161"|"Ja"|5|NA
"162"|"Nein"|0|1354.65
"163"|"Nein"|3|1536.71
"164"|"Nein"|0|607.77
"165"|"Nein"|0|8271.07
"166"|"Nein"|0|7605.69
"167"|"Nein"|0|3755.74
"168"|"Nein"|0|1616.98
"169"|"Nein"|0|3845.98
"170"|"Nein"|0|2974.74
"171"|"Nein"|5|3579.95
"172"|"Nein"|0|2294.24
"173"|"Nein"|0|1623.68
"174"|"Nein"|0|3388.33
"175"|"Nein"|0|730.86
"176"|"Nein"|0|489.68
"177"|"Ja"|NA|5179.54
"178"|"Nein"|0|1344.6
"179"|"Nein"|0|4090.26
"180"|"Nein"|0|120.88
"181"|"Nein"|0|2212.38
"182"|"Nein"|0|7730.94
"183"|"Ja"|9|7436.99
"184"|"Nein"|0|0
"185"|"Ja"|2|9817.8
"186"|"Nein"|0|1446.67
"187"|"Nein"|0|8135.46
"188"|"Ja"|2|8104.66
"189"|"Ja"|7|6574.77
"190"|"Ja"|0|604.94
"191"|"Nein"|0|5411.27
"192"|"Nein"|0|612.1
"193"|"Nein"|0|3313.95
"194"|NA|0|54.87
"195"|"Nein"|0|NA
"196"|"Ja"|5|6459.52
"197"|"Nein"|0|4585.54
"198"|"Nein"|0|445.94
"199"|"Ja"|0|14217.46
"200"|"Ja"|0|6127.24
"201"|"Ja"|7|1889.9
"202"|"Nein"|3|2941.85
"203"|"Nein"|NA|1228.14
"204"|"Nein"|0|2041.36
"205"|"Nein"|0|872
"206"|NA|0|7934.09
"207"|"Nein"|0|6940.87
