"kredit"|"weitkred"|"buerge"
"1"|1|1|2
"2"|1|2|NA
"3"|1|2|2
"4"|1|2|2
"5"|1|2|2
"6"|1|1|2
"7"|1|2|2
"8"|1|2|1
"9"|1|2|2
"10"|1|2|2
"11"|1|2|1
"12"|0|2|2
"13"|NA|2|2
"14"|1|2|2
"15"|1|2|2
"16"|1|2|1
"17"|1|1|2
"18"|1|2|2
"19"|0|1|2
"20"|1|2|2
"21"|1|2|2
"22"|0|1|2
"23"|0|2|2
"24"|1|2|2
"25"|0|2|2
"26"|1|2|2
"27"|1|NA|2
"28"|1|2|2
"29"|0|2|2
"30"|1|2|2
"31"|1|1|1
"32"|1|2|2
"33"|1|2|2
"34"|1|1|2
"35"|0|2|2
"36"|1|2|2
"37"|1|2|2
"38"|0|2|2
"39"|1|2|NA
"40"|0|2|2
"41"|1|2|2
"42"|1|1|2
"43"|0|2|2
"44"|1|2|2
"45"|1|2|2
"46"|1|1|2
"47"|0|2|2
"48"|1|2|2
"49"|1|2|2
"50"|1|2|2
"51"|1|2|2
"52"|0|2|2
"53"|1|2|2
"54"|1|2|NA
"55"|1|2|2
"56"|1|2|2
"57"|1|2|1
"58"|1|2|2
"59"|0|NA|2
"60"|1|2|2
"61"|1|1|2
"62"|1|2|1
"63"|1|2|2
"64"|0|1|2
"65"|0|1|2
"66"|1|2|2
"67"|1|2|2
"68"|1|2|2
"69"|1|2|2
"70"|0|1|1
"71"|1|2|2
"72"|1|1|2
"73"|1|2|2
"74"|0|2|2
"75"|1|2|2
"76"|1|2|2
"77"|1|2|1
"78"|1|2|2
"79"|0|2|2
"80"|NA|2|2
"81"|1|1|2
"82"|1|1|2
"83"|1|2|2
"84"|0|1|2
"85"|0|1|2
"86"|1|2|2
"87"|1|2|2
"88"|0|2|2
"89"|0|2|2
"90"|0|1|2
"91"|0|2|2
"92"|0|2|NA
"93"|1|2|2
"94"|1|2|2
"95"|0|2|2
"96"|1|1|2
"97"|0|2|2
"98"|1|2|1
"99"|1|2|2
"100"|1|2|2
"101"|1|2|2
"102"|1|1|2
"103"|NA|NA|2
"104"|1|2|NA
"105"|1|2|2
"106"|1|2|2
"107"|NA|1|2
"108"|1|2|2
"109"|1|2|2
"110"|1|2|2
"111"|0|2|2
"112"|0|2|2
"113"|1|1|2
"114"|1|2|2
"115"|1|2|2
"116"|0|1|2
"117"|1|2|2
"118"|0|2|2
"119"|1|2|2
"120"|1|2|2
"121"|1|2|2
"122"|1|2|2
"123"|1|2|2
"124"|1|2|2
"125"|0|2|2
"126"|0|2|2
"127"|0|NA|2
"128"|0|2|2
"129"|1|2|2
"130"|1|2|2
"131"|0|2|2
"132"|1|2|2
"133"|0|2|2
"134"|NA|2|2
"135"|0|NA|2
"136"|0|2|2
"137"|1|1|2
"138"|1|2|2
"139"|1|1|2
"140"|1|2|2
"141"|1|2|2
"142"|1|2|2
"143"|1|1|2
"144"|0|2|2
"145"|0|2|2
"146"|0|2|2
"147"|1|2|2
"148"|1|1|2
"149"|1|2|2
"150"|1|2|2
"151"|0|NA|2
"152"|1|2|2
"153"|1|2|2
"154"|0|2|2
"155"|1|NA|2
"156"|NA|2|2
"157"|1|2|2
"158"|1|2|NA
"159"|1|2|2
"160"|1|2|2
"161"|0|2|2
"162"|1|1|2
"163"|1|2|2
"164"|1|2|2
"165"|0|2|2
"166"|1|2|2
"167"|1|2|2
"168"|1|2|2
"169"|1|2|2
"170"|0|1|2
"171"|0|2|2
"172"|1|1|2
"173"|NA|2|2
"174"|0|2|1
"175"|1|NA|NA
"176"|1|2|2
"177"|0|2|2
"178"|0|2|2
"179"|1|1|2
"180"|1|2|NA
"181"|1|1|2
"182"|0|2|2
"183"|1|2|1
"184"|NA|2|2
"185"|1|2|2
"186"|1|2|2
"187"|1|2|2
"188"|0|2|2
"189"|0|2|2
"190"|0|2|2
"191"|1|1|2
"192"|1|2|2
"193"|1|2|2
"194"|1|2|2
"195"|0|2|2
"196"|1|2|2
"197"|1|1|2
"198"|0|1|2
"199"|1|2|2
"200"|1|2|2
"201"|0|2|2
"202"|1|2|2
"203"|1|2|2
"204"|0|1|2
"205"|1|2|2
"206"|0|1|2
"207"|1|2|2
"208"|0|2|2
"209"|1|2|2
"210"|1|2|2
"211"|1|2|2
"212"|1|2|2
"213"|1|2|2
"214"|0|2|2
"215"|1|2|1
"216"|0|2|2
"217"|1|2|2
"218"|0|NA|2
"219"|0|2|2
"220"|1|1|2
"221"|1|2|2
