"mode" "alter" "sex" "dist"
"1" 1 34 1 12
"2" 1 36 1 18
"3" 1 45 1 21
"4" 1 21 1 23
"5" 1 27 1 17
"6" 1 39 1 8
"7" 1 41 1 7
"8" 1 57 1 32
"9" 1 59 1 17
"10" 1 53 1 10
"11" 1 44 1 20
"12" 1 61 1 9
"13" 1 28 1 23
"14" 1 25 1 21
"15" 1 55 1 17
"16" 1 59 1 13
"17" 1 64 1 14
"18" 1 19 1 7
"19" 1 20 1 32
"20" 1 21 1 6
"21" 1 22 1 16
"22" 1 24 1 21
"23" 1 28 1 16
"24" 1 31 1 23
"25" 1 30 1 15
"26" 1 38 1 8
"27" 1 29 1 19
"28" 1 43 1 22
"29" 1 46 1 15
"30" 1 49 1 8
"31" 1 53 1 10
"32" 1 54 1 12
"33" 1 58 1 9
"34" 1 38 1 42
"35" 1 28 2 27
"36" 1 60 2 14
"37" 1 32 2 21
"38" 1 36 2 9
"39" 1 38 2 17
"40" 1 36 2 23
"41" 1 32 2 43
"42" 1 21 2 18
"43" 1 28 2 42
"44" 1 45 2 13
"45" 1 27 2 24
"46" 1 29 2 15
"47" 1 34 2 26
"48" 1 37 2 31
"49" 1 39 2 27
"50" 1 40 2 24
"51" 1 30 2 21
"52" 1 31 2 28
"53" 1 28 2 19
"54" 1 27 2 18
"55" 2 22 1 32
"56" 2 21 1 24
"57" NA 19 1 18
"58" 2 18 1 12
"59" 2 25 1 11
"60" 2 56 1 6
"61" 2 42 1 4
"62" 2 37 1 26
"63" 2 39 1 11
"64" 2 27 1 14
"65" 2 51 1 5
"66" 2 52 1 8
"67" 2 42 1 14
"68" 2 18 2 21
"69" 2 28 2 25
"70" 2 31 2 14
"71" 2 36 2 8
"72" 2 43 2 6
"73" 2 27 2 9
"74" 2 22 2 13
"75" 2 19 2 12
"76" 2 37 2 17
"77" 2 NA 2 21
"78" 2 41 2 17
"79" 2 45 2 8
"80" 2 17 2 14
