"Monat" "Geschlecht"
"1" 1 "Mädchen"
"2" 1 "Mädchen"
"3" 1 "Bub"
"4" 1 "Mädchen"
"5" 1 "Mädchen"
"6" 2 "Mädchen"
"7" 2 "Bub"
"8" 2 "Bub"
"9" 2 "Mädchen"
"10" 2 "Bub"
"11" 2 "Bub"
"12" 2 "Bub"
"13" 3 "Mädchen"
"14" 3 "Mädchen"
"15" 3 "Bub"
"16" 3 "Mädchen"
"17" 3 "Mädchen"
"18" 3 "Bub"
"19" 3 "Mädchen"
"20" 3 "Mädchen"
"21" 4 "Bub"
"22" 4 "Bub"
"23" 4 "Mädchen"
"24" 4 "Bub"
"25" 4 "Mädchen"
"26" 4 "Bub"
"27" 4 "Bub"
"28" 5 "Bub"
"29" 5 "Bub"
"30" 5 "Mädchen"
"31" 5 "Bub"
"32" 5 "Bub"
"33" 5 "Bub"
"34" 5 "Bub"
"35" 5 "Mädchen"
"36" 5 "Mädchen"
"37" 5 "Bub"
"38" 5 "Mädchen"
"39" 6 "Mädchen"
"40" 6 "Bub"
"41" 6 "Bub"
"42" 6 "Bub"
"43" 6 "Bub"
"44" 6 "Bub"
"45" 6 "Mädchen"
"46" 6 "Bub"
"47" 6 "Mädchen"
"48" 6 "Mädchen"
"49" 6 "Bub"
"50" 7 "Bub"
"51" 7 "Bub"
"52" 7 "Bub"
"53" 7 "Mädchen"
"54" 7 "Bub"
"55" 7 "Mädchen"
"56" 7 "Mädchen"
"57" 8 "Bub"
"58" 8 "Mädchen"
"59" 8 "Bub"
"60" 8 "Mädchen"
"61" 8 "Mädchen"
"62" 8 "Mädchen"
"63" 8 "Bub"
"64" 8 "Bub"
"65" 8 "Mädchen"
"66" 8 "Bub"
"67" 9 "Mädchen"
"68" 9 "Bub"
"69" 9 "Mädchen"
"70" 9 "Mädchen"
"71" 9 "Mädchen"
"72" 9 "Mädchen"
"73" 9 "Mädchen"
"74" 9 "Mädchen"
"75" 10 "Mädchen"
"76" 10 "Mädchen"
"77" 10 "Mädchen"
"78" 10 "Bub"
"79" 10 "Mädchen"
"80" 10 "Mädchen"
"81" 11 "Bub"
"82" 11 "Bub"
"83" 11 "Bub"
"84" 11 "Mädchen"
"85" 11 "Mädchen"
"86" 11 "Mädchen"
"87" 11 "Mädchen"
"88" 11 "Mädchen"
"89" 11 "Bub"
"90" 11 "Bub"
"91" 11 "Bub"
"92" 12 "Bub"
"93" 12 "Mädchen"
"94" 12 "Mädchen"
"95" 12 "Bub"
"96" 12 "Mädchen"
"97" 12 "Mädchen"
"98" 12 "Mädchen"
"99" 12 "Mädchen"
